name,country,Link,Type,x,y,country_code,img_url
Mexico,Mexico,http://datos.gob.mx/,International Country,-102.5763495,23.9353719,MX,https://www.countryflags.io/MX/shiny/64.png
Canada,Canada,https://search.open.canada.ca/en/od/?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-portal=Open%20Data&_ga=2.10238513.52197646.1601047586-517990023.1601047586,International Country,-98.14238137,61.46907615,CA,https://www.countryflags.io/CA/shiny/64.png
Costa Rica,Costa Rica,,International Country,-84.1754231,9.965671127,CR,https://www.countryflags.io/CR/shiny/64.png
Peru,Peru,http://www.datosperu.org/,International Country,-74.39180582,-9.191562905,PE,https://www.countryflags.io/PE/shiny/64.png
Colombia,Colombia,https://www.datos.gov.co/browse?sortBy=newest&utf8=%E2%9C%93,International Country,-73.07773209,3.927213863,CO,https://www.countryflags.io/CO/shiny/64.png
Chile,Chile,http://datos.gob.cl/dataset,International Country,-71.52064395,-39.04701431,CL,https://www.countryflags.io/CL/shiny/64.png
Argentina,Argentina,https://datos.gob.ar/,International Country,-65.17536077,-35.44682149,AR,https://www.countryflags.io/AR/shiny/64.png
Trinidad and Tobago,Trinidad and Tobago,http://data.gov.tt/,International Country,-61.33036691,10.42823709,TT,https://www.countryflags.io/TT/shiny/64.png
Uruguay,Uruguay,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/datos-y-estadisticas/datos-abiertos,International Country,-56.00327867,-32.78090437,UY,https://www.countryflags.io/UY/shiny/64.png
Brazil,Brazil,http://dados.gov.br/,International Country,-53.05434004,-10.80677364,BR,https://www.countryflags.io/BR/shiny/64.png
Sierra Leone,Sierra Leone,https://www.opendatasl.gov.sl/search/type/dataset,International Country,-11.79525743,8.530353726,SL,https://www.countryflags.io/SL/shiny/64.png
Morocco,Morocco,https://morocco.opendataforafrica.org/data/#menu=topic,International Country,-8.420479545,29.8853947,MA,https://www.countryflags.io/MA/shiny/64.png
Portugal,Portugal,http://www.dados.gov.pt/pt/inicio/inicio.aspx,International Country,-8.055765588,39.63404977,PT,https://www.countryflags.io/PT/shiny/64.png
Ireland,Ireland,https://data.gov.ie/,International Country,-8.010236545,53.18059121,IE,https://www.countryflags.io/IE/shiny/64.png
Spain,Spain,https://datos.gob.es/es/catalogo,International Country,-3.617020602,40.34865611,ES,https://www.countryflags.io/ES/shiny/64.png
France,France,https://www.data.gouv.fr/fr/dashboard/,International Country,-2.880599191,42.4577181,FR,https://www.countryflags.io/FR/shiny/64.png
United Kingdom,United Kingdom,http://data.gov.uk/,International Country,-2.853135395,53.91477348,GB,https://www.countryflags.io/GB/shiny/64.png
Ghana,Ghana,https://ghana.opendataforafrica.org/,International Country,-1.236968556,7.928651813,GH,https://www.countryflags.io/GH/shiny/64.png
Belgium,Belgium,https://data.gov.be/en/search/datasets,International Country,4.580831591,50.65244261,BE,https://www.countryflags.io/BE/shiny/64.png
Netherlands,Netherlands,http://data.overheid.nl/,International Country,5.512217101,52.29870037,NL,https://www.countryflags.io/NL/shiny/64.png
Tunisia,Tunisia,https://oecd-opsi.org/innovations/national-open-data-portal-of-tunisia/,International Country,9.534716121,34.17293904,TN,https://www.countryflags.io/TN/shiny/64.png
Denmark,Denmark,https://www.opendata.dk/search,International Country,9.876372938,56.06393446,DK,https://www.countryflags.io/DK/shiny/64.png
Germany,Germany,https://www.govdata.de/web/guest/daten,International Country,10.28848509,51.13372269,DE,https://www.countryflags.io/DE/shiny/64.png
Italy,Italy,https://www.dati.gov.it/view-dataset,International Country,12.14078837,42.75118305,IT,https://www.countryflags.io/IT/shiny/64.png
Austria,Austria,http://data.gv.at/,International Country,14.07615888,47.61394879,AT,https://www.countryflags.io/AT/shiny/64.png
Norway,Norway,https://data.norge.no/datasets,International Country,15.46812612,69.1568564,NO,https://www.countryflags.io/NO/shiny/64.png
Sweden,Sweden,https://www.dataportal.se/en/datasets?p=1&q=&s=2&t=20&f=,International Country,16.59626585,62.81148497,SE,https://www.countryflags.io/SE/shiny/64.png
Slovakia,Slovakia,https://data.gov.sk/dataset,International Country,19.50765715,48.72671135,SK,https://www.countryflags.io/SK/shiny/64.png
Greece,Greece,http://geodata.gov.gr/group,International Country,22.71981345,39.0667159,GR,https://www.countryflags.io/GR/shiny/64.png
Romania,Romania,http://data.gov.ro/,International Country,24.94325249,45.85710104,RO,https://www.countryflags.io/RO/shiny/64.png
South Africa,South Africa,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/central,International Country,25.04801388,-28.94703326,ZA,https://www.countryflags.io/ZA/shiny/64.png
Estonia,Estonia,http://pub.stat.ee/px-web.2001/Dialog/statfile1.asp,International Country,25.82472838,58.64369524,EE,https://www.countryflags.io/EE/shiny/64.png
Finland,Finland,https://www.avoindata.fi/en,International Country,26.2117647,64.50409392,FI,https://www.countryflags.io/FI/shiny/64.png
Moldova,Moldova,http://data.gov.md/,International Country,28.41048279,47.20367643,MD,https://www.countryflags.io/MD/shiny/64.png
Ukraine,Ukraine,https://data.gov.ua/dataset,International Country,31.36953308,48.97301797,UA,https://www.countryflags.io/UA/shiny/64.png
Tanzania,Tanzania,https://tanzania.opendataforafrica.org/,International Country,34.75298813,-6.257732721,TZ,https://www.countryflags.io/TZ/shiny/64.png
Kenya,Kenya,https://www.opendata.go.ke/,International Country,37.79155529,0.595966252,KE,https://www.countryflags.io/KE/shiny/64.png
Saudi Arabia,Saudi Arabia,http://www.data.gov.sa/,International Country,44.51636377,24.12328984,SA,https://www.countryflags.io/SA/shiny/64.png
Bahrain,Bahrain,http://www.bahrain.bh/wps/portal/data/,International Country,50.5577,26.0667,BH,https://www.countryflags.io/BH/shiny/64.png
United Arab Emirates,United Arab Emirates,http://opendata.nbs.gov.ae/,International Country,54.20671476,23.86863365,AE,https://www.countryflags.io/AE/shiny/64.png
Oman,Oman,http://www.oman.om/opendata,International Country,56.09867282,20.61117437,OM,https://www.countryflags.io/OM/shiny/64.png
India,India,http://data.gov.in/,International Country,79.59370376,22.92500641,IN,https://www.countryflags.io/IN/shiny/64.png
Russia,Russia,http://opengovdata.ru/,International Country,96.87522326,61.98084075,RU,https://www.countryflags.io/RU/shiny/64.png
Singapore,Singapore,http://data.gov.sg/,International Country,103.8538748,1.294979325,SG,https://www.countryflags.io/SG/shiny/64.png
China,China,http://www.stats.gov.cn/english/,International Country,103.8836163,36.55506854,CN,https://www.countryflags.io/CN/shiny/64.png
Hong Kong,Hong Kong,http://www.gov.hk/en/theme/psi/datasets/,International Country,114.1694,22.3193,HK,https://www.countryflags.io/HK/shiny/64.png
Indonesia,Indonesia,https://data.go.id/,International Country,117.4234076,-2.221737937,ID,https://www.countryflags.io/ID/shiny/64.png
Philippines,Philippines,http://data.gov.ph/,International Country,122.9026724,11.76379936,PH,https://www.countryflags.io/PH/shiny/64.png
Timor-Leste,Timor-Leste,http://www.transparency.gov.tl/,International Country,125.9663003,-8.767760362,TL,https://www.countryflags.io/TL/shiny/64.png
Dem. Rep. Korea,Dem. Rep. Korea,http://www.data.go.kr/,International Country,127.1650168,40.14302086,KR,https://www.countryflags.io/KR/shiny/64.png
Australia,Australia,http://data.gov.au/,International Country,134.5027755,-25.73065478,AU,https://www.countryflags.io/AU/shiny/64.png
Japan,Japan,https://www.data.go.jp/,International Country,138.0649621,37.66311081,JP,https://www.countryflags.io/JP/shiny/64.png
New Zealand,New Zealand,http://www.data.govt.nz/,International Country,172.7019259,-41.66257876,NZ,https://www.countryflags.io/NZ/shiny/64.png
British Columbia,Canada,http://www.data.gov.bc.ca/,International Regional,-125.002441,55.001251,CA,https://www.countryflags.io/CA/shiny/64.png
Nanaimo,Canada,http://www.nanaimo.ca/datafeeds,International Regional,-123.9379719,49.1637594,CA,https://www.countryflags.io/CA/shiny/64.png
Saanich,Canada,http://www.saanich.ca/data/catalogue/index.php,International Regional,-123.3764946,48.4594315,CA,https://www.countryflags.io/CA/shiny/64.png
British Columbia Local Government,Canada,http://www.civicinfo.bc.ca/,International Regional,-123.3684762,48.4178785,CA,https://www.countryflags.io/CA/shiny/64.png
Vancouver,Canada,http://data.vancouver.ca/,International Regional,-123.1139529,49.2608724,CA,https://www.countryflags.io/CA/shiny/64.png
District of North Vancouver,Canada,http://geoweb.dnv.org/data/,International Regional,-123.0780208,49.33612,CA,https://www.countryflags.io/CA/shiny/64.png
Prince George,Canada,http://princegeorge.ca/cityservices/online/odc/Pages/Documents.aspx,International Regional,-122.742183,53.908527,CA,https://www.countryflags.io/CA/shiny/64.png
County of Grand Prairie (CA),Canada,http://www.countygp.ab.ca/EN/main/community/maps-gis/open-data/data.html,International Regional,-118.811695,55.174811,CA,https://www.countryflags.io/CA/shiny/64.png
North Okanagan,Canada,http://www.rdno.ca/index.php/maps/digital-data,International Regional,-118.7147708,50.4164846,CA,https://www.countryflags.io/CA/shiny/64.png
Alberta,Canada,http://data.alberta.ca/,International Regional,-115.002136,55.001251,CA,https://www.countryflags.io/CA/shiny/64.png
Red Deer,Canada,http://www.reddeer.ca/City+Government/City+Services+and+Departments/Information+Technology+Services/Open+Data/About.htm,International Regional,-113.818359,52.269838,CA,https://www.countryflags.io/CA/shiny/64.png
Edmonton,Canada,http://data.edmonton.ca/,International Regional,-113.507996,53.535411,CA,https://www.countryflags.io/CA/shiny/64.png
Medicine Hat,Canada,http://data.medicinehat.ca/,International Regional,-110.679016,50.04303,CA,https://www.countryflags.io/CA/shiny/64.png
Saskatoon,Canada,http://www.saskatoon.ca/DEPARTMENTS/Corporate%20Services/Corporate%20Information%20Services/OpenData/Pages/OpenData.aspx,International Regional,-106.660767,52.131802,CA,https://www.countryflags.io/CA/shiny/64.png
Regina,Canada,http://openregina.cloudapp.net/,International Regional,-104.61731,50.44876,CA,https://www.countryflags.io/CA/shiny/64.png
Sutton,United Kingdom,https://www.sutton.gov.uk/index.aspx?articleid=15338,International Regional,-100.6432359,30.5672947,GB,https://www.countryflags.io/GB/shiny/64.png
Waterloo,Canada,http://opendata.waterloo.ca/,International Regional,-92.3329637,42.4979693,CA,https://www.countryflags.io/CA/shiny/64.png
Ontario,Canada,http://www.ontario.ca/government/government-ontario-open-data,International Regional,-86.000977,50.000678,CA,https://www.countryflags.io/CA/shiny/64.png
Guelph,Canada,http://guelph.ca/services.cfm?itemid=78870&smocid=1550,International Regional,-80.2493276,43.5460516,CA,https://www.countryflags.io/CA/shiny/64.png
Hamilton,Canada,http://www.hamilton.ca/ProjectsInitiatives/OpenData/,International Regional,-79.8728583,43.2560802,CA,https://www.countryflags.io/CA/shiny/64.png
Region of Peel,Canada,http://opendata.peelregion.ca/,International Regional,-79.7090023,43.6474732,CA,https://www.countryflags.io/CA/shiny/64.png
Mississauga,Canada,http://www.mississauga.ca/portal/residents/publicationsopendatacatalogue,International Regional,-79.645729,43.590338,CA,https://www.countryflags.io/CA/shiny/64.png
Toronto,Canada,http://www.toronto.ca/open,International Regional,-79.3839347,43.6534817,CA,https://www.countryflags.io/CA/shiny/64.png
Niagara Region,Canada,http://www.niagararegion.ca/government/opendata/default.aspx,International Regional,-79.3098089,43.0631891,CA,https://www.countryflags.io/CA/shiny/64.png
Niagara Falls,Canada,http://www.niagarafalls.ca/services/open/data,International Regional,-79.0614686,43.08436,CA,https://www.countryflags.io/CA/shiny/64.png
Lima,Peru,http://www.munlima.gob.pe/datos-abiertos-mml.html,International Regional,-77.05200795,-12.04606682,PE,https://www.countryflags.io/PE/shiny/64.png
Ottawa,Canada,http://www.guardian.co.uk/world-government-data/search?facet_source_title=ottawa.ca,International Regional,-75.70196116,45.41864266,CA,https://www.countryflags.io/CA/shiny/64.png
Montreal,Canada,http://donnees.ville.montreal.qc.ca/,International Regional,-73.6103642,45.4972159,CA,https://www.countryflags.io/CA/shiny/64.png
Quebec (Province),Canada,http://data.gouv.qc.ca/?node=/accueil,International Regional,-73.079475,47.945618,CA,https://www.countryflags.io/CA/shiny/64.png
Quebec (City),Canada,http://donnees.ville.quebec.qc.ca/,International Regional,-71.2352226,46.8259601,CA,https://www.countryflags.io/CA/shiny/64.png
Fredericton,Canada,http://www.fredericton.ca/en/citygovernment/DataMain.asp,International Regional,-66.645813,45.966425,CA,https://www.countryflags.io/CA/shiny/64.png
Halifax,Canada,https://www.halifaxopendata.ca/,International Regional,-63.5859487,44.648618,CA,https://www.countryflags.io/CA/shiny/64.png
"Misiones Province, Argentina",Argentina,http://www.datos.misiones.gov.ar/,International Regional,-62.26398514,-38.7412777,AR,https://www.countryflags.io/AR/shiny/64.png
Buenos Aires,Argentina,http://data.buenosaires.gob.ar/,International Regional,-58.39947723,-34.60055575,AR,https://www.countryflags.io/AR/shiny/64.png
Montevideo,Uruguay,http://www.montevideo.gub.uy/institucional/datos-abiertos/introduccion,International Regional,-56.17299815,-34.85609571,UY,https://www.countryflags.io/UY/shiny/64.png
Novo Hamburgo,Brazil,https://dados.novohamburgo.rs.gov.br//,International Regional,-51.1429035,-29.6905705,BR,https://www.countryflags.io/BR/shiny/64.png
Sao Paulo,Brazil,http://www.governoaberto.sp.gov.br/view/,International Regional,-46.6333824,-23.5506507,BR,https://www.countryflags.io/BR/shiny/64.png
Dailan,China,http://zwgk.dl.gov.cn/default.jse,International Regional,-42.3547457,-21.1288679,CN,https://www.countryflags.io/CN/shiny/64.png
Brazilian Federal Senate,Brazil,http://dadosabertos.senado.gov.br/,International Regional,-47.887827,-15.801622,BR,https://www.countryflags.io/BR/shiny/64.png
Galicia,Spain,http://abertos.xunta.es/portada/,International Regional,-7.863112,42.61946,ES,https://www.countryflags.io/ES/shiny/64.png
Italian Parliament,Italy,http://dati.camera.it/it/,International Regional,-7.254486648,52.6546901,IT,https://www.countryflags.io/IT/shiny/64.png
Fingal,Ireland,http://data.fingal.ie/,International Regional,-6.224980209,53.49422125,IE,https://www.countryflags.io/IE/shiny/64.png
Asturias,Spain,http://risp.asturias.es/catalogo/index.html,International Regional,-5.854145745,43.2710878,ES,https://www.countryflags.io/ES/shiny/64.png
Junta de Castilla y LeÜn,Spain,http://www.datosabiertos.jcyl.es/,International Regional,-5.490922,42.596622,ES,https://www.countryflags.io/ES/shiny/64.png
North Devon Council,United Kingdom,http://www.northdevon.gov.uk/index/lgcl_council_government_and_democracy/nonlgcl_open_data.htm,International Regional,-4.0591466,51.0802659,GB,https://www.countryflags.io/GB/shiny/64.png
Allerdale,United Kingdom,http://datacatalogs.org/catalog/allerdale,International Regional,-3.252788011,54.70888095,GB,https://www.countryflags.io/GB/shiny/64.png
Great Manchester,United Kingdom,http://www.datagm.org.uk/,International Regional,-3.054914187,53.80672975,GB,https://www.countryflags.io/GB/shiny/64.png
Wyre Council,United Kingdom,http://www.wyre.gov.uk/opendata,International Regional,-3.0119337,53.874906,GB,https://www.countryflags.io/GB/shiny/64.png
Castilla-La Mancha,Spain,http://opendata.jccm.es/,International Regional,-2.6232332,39.4177902,ES,https://www.countryflags.io/ES/shiny/64.png
Trafford Council,United Kingdom,http://www.trafford.gov.uk/opendata/,International Regional,-2.3388814,53.4039235,GB,https://www.countryflags.io/GB/shiny/64.png
Salford City Council,United Kingdom,http://www.salford.gov.uk/opendata.htm,International Regional,-2.2718561,53.4851727,GB,https://www.countryflags.io/GB/shiny/64.png
Manchester,United Kingdom,http://www.manchester.gov.uk/info/500215/open_data,International Regional,-2.2451148,53.4794892,GB,https://www.countryflags.io/GB/shiny/64.png
Euskadi (Basque Country),Spain,http://opendata.euskadi.net/,International Regional,-1.9772285,43.3215352,ES,https://www.countryflags.io/ES/shiny/64.png
Birmingham,United Kingdom,http://www.birmingham.gov.uk/open-data,International Regional,-1.9026911,52.4796992,GB,https://www.countryflags.io/GB/shiny/64.png
Loire-Atlantique,France,http://data.loire-atlantique.fr/,International Regional,-1.872746121,47.34816145,FR,https://www.countryflags.io/FR/shiny/64.png
Navarre,Spain,http://www.navarra.es/home_es/Open-Data/,International Regional,-1.830787683,42.61254875,ES,https://www.countryflags.io/ES/shiny/64.png
Lichfield,United Kingdom,http://lichfielddc.gov.uk/,International Regional,-1.8275286,52.6843696,GB,https://www.countryflags.io/GB/shiny/64.png
Rennes,France,http://www.data.rennes-metropole.fr/,International Regional,-1.6800198,48.1113387,FR,https://www.countryflags.io/FR/shiny/64.png
Pamplona,Spain,http://pamplona.es/verPagina.asp?IdPag=1519&Idioma=1,International Regional,-1.6442556,42.8184538,ES,https://www.countryflags.io/ES/shiny/64.png
Nantes,France,http://data.nantes.fr/,International Regional,-1.5541362,47.2186371,FR,https://www.countryflags.io/FR/shiny/64.png
Warwickshire,United Kingdom,http://www.guardian.co.uk/world-government-data/search?facet_source_title=opendata.warwickshire.gov.uk,International Regional,-1.546785787,52.32130635,GB,https://www.countryflags.io/GB/shiny/64.png
La Rochelle,France,http://www.opendata.larochelle.fr/,International Regional,-1.1520434,46.1591126,FR,https://www.countryflags.io/FR/shiny/64.png
Zaragoza,Spain,http://www.zaragoza.es/ciudad/risp/,International Regional,-0.8809428,41.6521342,ES,https://www.countryflags.io/ES/shiny/64.png
Aragon,Spain,http://opendata.aragon.es/,International Regional,-0.7639373,41.3787291,ES,https://www.countryflags.io/ES/shiny/64.png
Aquitaine and Gironde,France,http://datalocale.fr/,International Regional,-0.605126444,44.88374595,FR,https://www.countryflags.io/FR/shiny/64.png
Windsor,Canada,http://www.citywindsor.ca/opendata/pages/open-data-catalogue.aspx,International Regional,-0.604139743,51.48379805,CA,https://www.countryflags.io/CA/shiny/64.png
Angers,France,http://data.angers.fr/,International Regional,-0.5515588,47.4739884,FR,https://www.countryflags.io/FR/shiny/64.png
Surrey,Canada,http://www.surrey.ca/city-services/658.aspx,International Regional,-122.862727,49.183435,CA,https://www.countryflags.io/CA/shiny/64.png
London,United Kingdom,http://www.london.ca/d.aspx?s=/Open_Data/Data_Catalogue.htm,International Regional,-0.118667702,51.50194059,GB,https://www.countryflags.io/GB/shiny/64.png
London,United Kingdom,http://www.guardian.co.uk/world-government-data/search?facet_source_title=data.london.gov.uk,International Regional,-0.118667702,51.50194059,GB,https://www.countryflags.io/GB/shiny/64.png
Redbridge,United Kingdom,http://data.redbridge.gov.uk/,International Regional,0.0454097,51.5763203,GB,https://www.countryflags.io/GB/shiny/64.png
Le Mans,France,http://www.lemans.fr/page.do?t=2&uuid=16CB26C7-550EA533-5AE8381B-D7A64AF8,International Regional,0.1967379,48.0073498,FR,https://www.countryflags.io/FR/shiny/64.png
Open Kent,United Kingdom,http://www.openkent.org.uk/,International Regional,0.345480807,51.42246455,GB,https://www.countryflags.io/GB/shiny/64.png
Lleida,Spain,http://cartolleida.paeria.es/lleidaoberta/inici.aspx,International Regional,0.6267842,41.6147605,ES,https://www.countryflags.io/ES/shiny/64.png
Kent,United Kingdom,http://www.kent.gov.uk/your_council/open_data.aspx,International Regional,0.7105077,51.2474823,GB,https://www.countryflags.io/GB/shiny/64.png
Toulouse,France,http://data.grandtoulouse.fr/,International Regional,1.4442469,43.6044622,FR,https://www.countryflags.io/FR/shiny/64.png
Terrassa,Spain,http://opendata.terrassa.cat/,International Regional,2.0102442,41.5629885,ES,https://www.countryflags.io/ES/shiny/64.png
Barcelona,Spain,http://w20.bcn.cat/opendata/,International Regional,2.1774322,41.3828939,ES,https://www.countryflags.io/ES/shiny/64.png
Hauts-de-Seine,France,http://opendata.hauts-de-seine.net/,International Regional,2.198641222,48.8401859,FR,https://www.countryflags.io/FR/shiny/64.png
Badalona,Spain,http://badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=opendata,International Regional,2.248254,41.4493539,ES,https://www.countryflags.io/ES/shiny/64.png
Organization for Economic Cooperation and Development (OECD),France,http://stats.oecd.org/,International Regional,2.302753,48.850329,FR,https://www.countryflags.io/FR/shiny/64.png
Paris,France,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp,International Regional,2.331389467,48.86863879,FR,https://www.countryflags.io/FR/shiny/64.png
Balearic Islands,Spain,http://www.caib.es/caibdatafront/,International Regional,2.880430533,39.6134018,ES,https://www.countryflags.io/ES/shiny/64.png
Montpellier,France,http://opendata.montpelliernumerique.fr/,International Regional,3.8767337,43.6112422,FR,https://www.countryflags.io/FR/shiny/64.png
Antwerp,France,http://opendata.antwerpen.be/,International Regional,4.3997081,51.2211097,FR,https://www.countryflags.io/FR/shiny/64.png
Rotterdam,Netherlands,http://rotterdamopendata.nl,International Regional,4.4631727,51.9228958,NL,https://www.countryflags.io/NL/shiny/64.png
SaŽne-et-Loire,France,http://www.opendata71.fr/,International Regional,4.620844,46.648998,FR,https://www.countryflags.io/FR/shiny/64.png
Alkmaar,Netherlands,http://www.alkmaar.nl/opendata,International Regional,4.7503798,52.6312592,NL,https://www.countryflags.io/NL/shiny/64.png
Amsterdam,Netherlands,http://www.os.amsterdam.nl/,International Regional,4.914694317,52.35191455,NL,https://www.countryflags.io/NL/shiny/64.png
Amsterdam,Netherlands,http://maps.amsterdam.nl/open_geodata/,International Regional,4.914694317,52.35191455,NL,https://www.countryflags.io/NL/shiny/64.png
Langley,Canada,http://www.tol.ca/Services-Contact/Open-Data/Open-Data-Catalogue,International Regional,-122.659149,49.103058,CA,https://www.countryflags.io/CA/shiny/64.png
Moers,Germany,http://www.offenedaten.moers.de/,International Regional,6.62843,51.451283,DE,https://www.countryflags.io/DE/shiny/64.png
Enschede,Netherlands,http://opendata.enschede.nl/,International Regional,6.870595664,52.22336325,NL,https://www.countryflags.io/NL/shiny/64.png
Rheinland Pfalz,Germany,http://www.daten.rlp.de/,International Regional,7.310646,49.9531599,DE,https://www.countryflags.io/DE/shiny/64.png
Turin,Italy,http://www.comune.torino.it/aperto,International Regional,7.6824892,45.0677551,IT,https://www.countryflags.io/IT/shiny/64.png
Piedmont,Italy,http://www.dati.piemonte.it/,International Regional,7.829717,45.101223,IT,https://www.countryflags.io/IT/shiny/64.png
Zurich,Switzerland,http://data.stadt-zuerich.ch/content/portal/de/index/ogd/daten.html,International Regional,8.5423328,47.3723941,CH,https://www.countryflags.io/CH/shiny/64.png
Bremen,Germany,http://www.daten.bremen.de/,International Regional,8.8071646,53.0758196,DE,https://www.countryflags.io/DE/shiny/64.png
Sardinia,Italy,http://www.sardegnageoportale.it/index.html,International Regional,9.097753807,40.06160405,IT,https://www.countryflags.io/IT/shiny/64.png
Milan,Italy,http://dati.comune.milano.it/,International Regional,9.1905,45.4668,IT,https://www.countryflags.io/IT/shiny/64.png
Lombardy,Italy,https://dati.lombardia.it/,International Regional,9.768893,45.6209,IT,https://www.countryflags.io/IT/shiny/64.png
Vorarlberg,Austria,http://data.vorarlberg.gv.at/,International Regional,9.9166667,47.25,AT,https://www.countryflags.io/AT/shiny/64.png
Hamburg,Germany,http://daten.hamburg.de/,International Regional,10.0099133,53.5437641,DE,https://www.countryflags.io/DE/shiny/64.png
Aarhus,Denmark,http://www.odaa.dk/,International Regional,10.2134046,56.1496278,DK,https://www.countryflags.io/DK/shiny/64.png
Lucca,Italy,http://opendata.provincia.lucca.it/,International Regional,10.45315184,44.0176138,IT,https://www.countryflags.io/IT/shiny/64.png
Trento,Italy,http://www.territorio.provincia.tn.it/portal/server.pt?open=512&objID=862&PageID=32157&mode=2&in_hi_userid=18720&cached=true,International Regional,11.1257601,46.0664228,IT,https://www.countryflags.io/IT/shiny/64.png
Trentino,Italy,http://dati.trentino.it/,International Regional,11.1295431,46.102817,IT,https://www.countryflags.io/IT/shiny/64.png
Tuscany,Italy,http://dati.toscana.it/,International Regional,11.1389204,43.4586541,IT,https://www.countryflags.io/IT/shiny/64.png
Florence,Italy,http://dati.comune.firenze.it/,International Regional,11.2555757,43.7698712,IT,https://www.countryflags.io/IT/shiny/64.png
Bologna,Italy,http://dati.comune.bologna.it/,International Regional,11.3430347,44.4936714,IT,https://www.countryflags.io/IT/shiny/64.png
Emilia-Romagna Open Data,Italy,http://dati.emilia-romagna.it/,International Regional,11.344409,44.4919861,IT,https://www.countryflags.io/IT/shiny/64.png
Tyrol,Austria,http://www.tirol.gv.at/applikationen/e-government/data/,International Regional,11.5261028,47.223193,AT,https://www.countryflags.io/AT/shiny/64.png
Vicenza Geodata,Italy,http://www.comune.vicenza.it/uffici/dipgenpers/sistinf/sit/daticartografici.php,International Regional,11.545593,45.551144,IT,https://www.countryflags.io/IT/shiny/64.png
Veneto,Italy,http://dati.veneto.it/,International Regional,11.8665254,45.6476663,IT,https://www.countryflags.io/IT/shiny/64.png
Rostock,Germany,http://datacatalogs.org/catalog/rostock,International Regional,12.1286127,54.0924445,DE,https://www.countryflags.io/DE/shiny/64.png
Venice,Italy,http://dati.venezia.it/,International Regional,12.3345898,45.4371908,IT,https://www.countryflags.io/IT/shiny/64.png
Leipzig,Germany,http://www.apileipzig.de/,International Regional,12.3747329,51.3406321,DE,https://www.countryflags.io/DE/shiny/64.png
Italy Senate,Italy,http://dati.senato.it/,International Regional,12.4748472,41.8991328,IT,https://www.countryflags.io/IT/shiny/64.png
Chamber of Deputies,Italy,http://dati.camera.it/it/,International Regional,12.4787076,41.9017297,IT,https://www.countryflags.io/IT/shiny/64.png
Rome,Italy,http://www.opendata.provincia.roma.it/,International Regional,12.48131256,41.89790149,IT,https://www.countryflags.io/IT/shiny/64.png
Udine,Italy,http://www.comune.udine.it/opencms/opencms/release/ComuneUdine/comune/Bilanci_comunali/open_data,International Regional,13.2358377,46.0634632,IT,https://www.countryflags.io/IT/shiny/64.png
Berlin,Germany,http://daten.berlin.de/,International Regional,13.39960276,52.52376452,DE,https://www.countryflags.io/DE/shiny/64.png
Linz,Austria,http://data.linz.gv.at/,International Regional,14.286198,48.3059078,AT,https://www.countryflags.io/AT/shiny/64.png
OpenAid.se,Sweden,http://openaid.se/,International Regional,14.895717,61.608467,SE,https://www.countryflags.io/SE/shiny/64.png
Graz,Austria,http://data.graz.gv.at/,International Regional,15.4382786,47.0708678,AT,https://www.countryflags.io/AT/shiny/64.png
Niederosterreich,Austria,http://www.noe.gv.at/noe/Open-Government-Data/Open-Government-Data.html,International Regional,16.154988,48.129237,AT,https://www.countryflags.io/AT/shiny/64.png
Vienna,Austria,http://data.wien.gv.at/,International Regional,16.3646931,48.20196114,AT,https://www.countryflags.io/AT/shiny/64.png
Puglia,Italy,http://www.dati.puglia.it/,International Regional,16.6210027,40.9842539,IT,https://www.countryflags.io/IT/shiny/64.png
Bari,Italy,http://opendata.comune.bari.it/,International Regional,16.8620293,41.1257843,IT,https://www.countryflags.io/IT/shiny/64.png
Stockholm,Sweden,http://open.stockholm.se/,International Regional,18.09538887,59.35270581,SE,https://www.countryflags.io/SE/shiny/64.png
InGrid (Germany),Germany,https://www.ingrid-oss.eu/latest/,International Regional,13.437104,52.507821,DE,https://www.countryflags.io/DE/shiny/64.png
European Union,EU,http://open-data.europa.eu/,International Regional,23.3216264,42.6788082,EU,https://www.countryflags.io/EU/shiny/64.png
Tampere,Finland,http://tampere.fi/avoindata,International Regional,23.7603118,61.4980214,FI,https://www.countryflags.io/FI/shiny/64.png
